aa	Afar	Cushitic
ab	Abkhaz	Abkhaz-Abaza
ae	Avestan	Central Iranian
af	Afrikaans	West Germanic
ak	Akan	Central Tano
am	Amharic	Ethiopian Semitic
an	Aragonese	West Iberian
ar	Arabic	Arabic
as	Assamese	Eastern Indo-Aryan
av	Avar	Northeast Caucasian
ay	Aymara	Aymaran
az	Azerbaijani	Oghuz
ba	Bashkir	Kipchak-Bulgar
be	Belarusian	East Slavic
bg	Bulgarian	South Slavic
bh	Bihari	Eastern Indo-Aryan
bi	Bislama	creole or pidgin
bm	Bambara	East Manding
bn	Bengali	Eastern Indo-Aryan
bo	Tibetan	Tibetic
br	Breton	Brythonic
ca	Catalan	Romance
ce	Chechen	Vainakh
ch	Chamorro	Sunda-Sulawesi
co	Corsican	Italo-Dalmatian
cr	Cree	Algonquian
cs	Czech	West Slavic
cu	Old Church Slavonic	South Slavic
cv	Chuvash	Oghur
cy	Welsh	Brythonic
da	Danish	North Germanic
de	German	West Germanic
dv	Dhivehi	Insular Indo-Aryan
dz	Dzongkha	Tibetic
ee	Ewe	Gbe
el	Greek	Hellenic
en	English	West Germanic
eo	Esperanto	constructed
es	Spanish	West Iberian
et	Estonian	Finnic
eu	Basque	Vasconic
fa	Persian	Southwestern Iranian
ff	Fula	Fula-Wolof
fi	Finnish	Finnic
fj	Fijian	Central-Eastern Oceanic
fo	Faroese	North Germanic
fr	French	Oïl
fy	West Frisian	Frisian
ga	Irish	Goidelic
gd	Scottish Gaelic	Goidelic
gl	Galician	West Iberian
gn	Guaraní	Tupi-Guarani
gu	Gujarati	Western Indo-Aryan
gv	Manx	Goidelic
ha	Hausa	West Chadic
he	Hebrew	Canaanite
hi	Hindi,Hindavi	Hindustani
ho	Hiri Motu	creole or pidgin
ht	Haitian Creole	creole or pidgin
hu	Hungarian	Ugric
hy	Armenian	Armenian
hz	Herero	Southwest Bantu
ia	Interlingua	constructed
id	Indonesian	Malayic
ie	Interlingue	constructed
ig	Igbo	Igboid
ii	Sichuan Yi	Loloish
ik	Inupiaq	Inuit
io	Ido	constructed
is	Icelandic	North Germanic
it	Italian	Italo-Dalmatian
iu	Inuktitut	Inuit
ja	Japanese	Japonic
jv	Javanese	Sunda-Sulawesi
ka	Georgian	Georgian-Zan
kg	Kongo	Kongo
ki	Kikuyu	Kikuyu-Kamba
kj	Kwanyama	Ovambo
kk	Kazakh	Kipchak-Nogai
kl	Greenlandic	Inuit
km	Khmer	Khmeric
kn	Kannada	Dravidian
ko	Korean	Korean
kr	Kanuri	Saharan
ks	Kashmiri	Dardic
kw	Cornish	Brythonic
